company,title,summary
"


        University College London
",Statistician (Research Assistant),"
The appointment will be on UCL Grade 6. The salary range will be £29,485 - £31,091 per annum, inclusive of London Allowance. The MRC Clinical Trials Unit at"
"


        Microsoft
",Data Scientist,"
Experience analyzing large scale data related to online businesses, online-advertising and/or e-commerce data preferred...."
"


        The Boston Consulting Group
",Senior Knowledge Analyst - Data Engineering,"
Data Engineers, together with Data Scientists, Scientific Modellers, Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are the..."
"


        Reed Business Information
",Associate Data Scientist,"
Experience in machine learning, data visualization, and data manipulation tools. A relevant degree such as data science, data programming, statistical economics..."
"

    Carlton Senior Appointments
",Senior Quantitative Analyst,"
A leading commodity trading house based in London are currently looking for a Senior Quantitative Analyst for their Structuring and Quant Analysis team. The"
"

    Client Server
",Data Scientist Python R SQL - Machine Learning,"
Data Scientist / Security Data Analyst (Python R Machine Learning Big Data). Strong experience as a Data Scientist...."
"


        PETA Foundation
",Research Associate,"
Ability to interact effectively with diverse groups of scientists and media representatives. Obtain the necessary data for writing factsheets, reports, comments..."
"

    Datatech Analytics
",Data Scientist,"
Data Scientist – Negotiable Salary – Plus Benefits – London. Identifying and specifying changes to data capture...."
"

    Cornwaliis Elt
",Data Scientist / Engineer - London,"
Data Scientist / Engineer - London. Liaise closely with other Data Engineers and Data Scientists when using data platforms...."
"

    Harnham
",DATA SCIENTIST - MACHINE LEARNING,"
The Role - Data Scientist. Data Scientist | Machine Learning. Your Skills and Experience - Data Scientist. R, Python, Pandas, Scala, SQL, Hive, Hadoop, Spark,..."
"


        Sky
",Lead Data Scientist,"
Managing a team of dedicated and ground breaking data scientists. Strong experience in statistics (time series analysis, data mining, advanced clustering, data..."
"


        Sky
",Data Scientist,"
This position will sit within our new Big Data team tasked with unlocking value contained in large/semi-structured data across the business...."
"

    iKas International
",Data Scientist Modeller,"
Knowledge of Data Mining techniques. A leading Financial Technology organisation are looking for a Data Scientist/Modeller to join their Data team, based in the..."
"


        Salt
",Data Scientist,"
Data Scientist - London - £60,000 - 80,000. Developing bespoke data science tools. Visualising data at various business levels...."
"

    Harnham
",DATA SCIENTIST - DEEP LEARNING,"
Data Scientist - Deep Learning. Harnham are currently working with a leading data science team in central London in the legal sector who are looking to hire a..."
"

    Berkeley Square IT
",Bayesian Data Scientist,"
The successful Bayesian Data Scientist will be able to demonstrate:. If you're keen to apply for this Bayesian Data Scientist position, please send me your CV..."
"


        Morgan McKinley
","Data Scientist £40,000 - £80,000","
Data Scientist £40,000 - £80,000. My client a growing start up consultancy providing data and analytics services are looking to recruit a talented data..."
"

    Xcede Digital
",Data Scientist - Healthcare,"
If you are interested in this or other Data Scientist or Data Engineering vacancies please contact Niall Wharton on niall.wharton@xcede.co.uk or +44(0)203 301..."
,Data Scientist,"
Communicate requirements for data sources to the data warehouse provider (Siemens in Germany) and work with them to validate the data once imported...."
"

    Whitehat Analytics
",Data Scientist,"
O Assess the volume of data, the type of data, and the speed of data collection. We are expanding our core team and are looking for a data scientist who is..."
"


        Aimia
",Senior Analyst - Sainsburys Nectar Analytics,"
AIMIA places analytics and data science at the heart of our business, and we employ over 100 analysts and data scientists in the UK and over 200 worldwide...."
"


        Teradata
",Think Big Senior Data Scientist,"
The Senior Data Scientist will:. Have experience mentoring Junior Data Scientists. Model, predict and classify data...."
"

    Taylor Green Recruitment
",Data Scientist - Fintech - Start Up - London,"
My client, an exciting Fintech Start Up based in London is looking to hire a Data Scientist to develop their Big Data input...."
"


        GlaxoSmithKline
",Senior Scientist,"
You will be expected to develop credibility with colleagues across GSK R&D, perform data analysis, record keeping and reporting of results to corporate..."
"

    Amey plc
",Analytics and Data Science Specialists,"
Skills and a track record in quantitative analytics, and /or data science ideally applied to physical infrastructure or plant...."
"

    Atwood Tate
","Data Scientist, Journals","
The Data Scientist role will be responsible for analyzing trends, correlations and abnormalities across this data and reporting the findings...."
"


        Swiss Re
",Head of L&H Data Propositions 1,"
Interacts and collaborates closely with ""data-related"" functions within the Group (e.g., Data Scientists, Digital Analytics Catalysts) to understand and..."
"

    Database Team
",Data Scientist Python R SQL - Machine Learning,"
Data Scientist / Security Data Analyst. Data Scientist / Security Data Analyst (Python R Machine Learning Big Data)...."
"


        Deutsche Bank
",Quantitative Analyst,"
Job ID: 3137095 Full/Part-Time: Full-time Regular/Temporary: Regular Listed: 2016-08-10 Location: London, United Kingdom As a leading global bank with"
"


        Reed Business Information
",Test Analyst,"
Data testing and validation. The technology team provides the online products and systems to collect and distribute ICIS data to our global audience...."
"

    Capita IT Resourcing
",Junior Data Scientist,"
Junior Data Scientist with 1 - 2 years of commercial experience needed to help my travel client develop new data driven products and services...."
"

    Churchill Frank
",Data Innovation Scientist,"
Data Innovation Scientist - Qlikview - London - £40000+ DOE. Data, Scientist, Qlikview, Reporting, Tableau, Business Objects, SQL Server, R, Excel VBA, SPSS,..."
"


        Guy's and St Thomas' NHS Foundation Trust
",Assistant Technical Officer,"
Experience in data entry would be an advantage. We are seeking Assistant Technical Officers to support the work of Senior Assistant Technical Officers and..."
"


        Bank Of America
",Senior Quantitative Finance Analyst,"
Corporate Title: Vice President up to Director Division: Global Risk Bank of America Merrill Lynch is looking for a senior quantitative finance analyst in"
"


        Teespring
",Data Analyst - EU,"
The Data team is composed of analysts, data scientists and engineers who are responsible for core data collections and application...."
"

    Harnham
",SQL/R - JUNIOR DATA SCIENTIST - START UP,"
SQL/R - Junior Data Scientist - Start Up. SQL/R JUNIOR DATA SCIENTIST - WHAT TO EXPECT:. As the successful analyst you will be joining a team of product..."
"

    Klarna
",Data Scientist Predictive Modelling UK,"
Experience working with consumer credit data. Find patterns and trends in huge transactional data sets. Experience extracting and manipulating big sets of data..."
"

    Harnham
",DATA SCIENTIST | R&D,"
Data Scientist | R&D. As a Principal Data Scientist in this brand new function, you will be responsible for spearheading the introduction of advanced machine..."
"


        Imperial College London
",Strategic Planning Officer,"
This post is particularly focused on data relating to students and education, and has particular responsibility for data used to inform the Colleges Access..."
"

    G-Research
",Machine Learning Researcher,"
The team are developing machine learning techniques and applying them to seek patterns in large, dirty and noisy data sets...."
"

    ThinkersConnect
",Database Developer (SQL),"
Assist data scientists with data analysis and research. Experience using Redgate tools or SQL Server Data Tools in production environments...."
"

    TechNET IT Recruitment Ltd
",Research Developer – R&D Start-Up,"
As an R&D Scientist, you will:. As an R&D Scientist, you will have shown excellence in the following:. They develop their systems using graph technologies that..."
"


        Department for Communities and Local Government
","Spatial Analyst, Implementation Unit","
1507693 EO Data Collection Officer - Data Analytics and Statistics. Working collaboratively with DCLGs Data Scientists to continue to develop our digital..."
"

    Client Server
",Data Scientist PhD,"
Data Scientist (PhD Data Modelling Machine Learning OOP R Python Golang Mathematics). Experience as a Data Scientist / Statistical Modeller / Financial Analyst..."
"


        The Pirbright Institute
",Research Scientist,"
Communicating progress and data internally; The Pirbright Institute is a unique national centre that works through its highly innovative fundamental and applied..."
"

    Austin Fraser Ltd
",Data Scientist,"
Data Scientist (R, Hadoop, Data Mining, Machine Learning). I am looking for an experienced Data Scientist to join a project immediately on a 3 month contract...."
"

    Harnham
",DATA SCIENCE CONSULTANT,"
Data Scientist £55,000-£60,000. Consultancy - Large Data Sets - Computer - Statisticians - Biostatistician - Matlab - R - Scala - Python - Java - SQL -..."
"

    King.com
",Data Science Team Lead,"
We are looking for a talented and creative Principal Data Scientist for our London studio. As a data scientist at King, your role will be focused on particular..."
"

    TechNET IT Recruitment Ltd
",Data Scientist,"
Mentor junior data architects. My Client is a rapidly growing, global technology organisation who is looking for a Data Scientist to join their Big Data team on..."
"

    Babylon Health
",Machine Learning Specialist,"
You will be working with highly skilled data science, NLP, data, engineering and product teams to release great products across Babylon...."
"

    CognitionX
",Chief Data Scientist,"
We’re searching for the ultimate data scientist to define our data strategy going forward. Define the technical, and data requirements of the data strategy...."
"


        Sky
",Python developer,"
Insightful - you love to visualize data and information. Closet scientist - formulating hypotheses, running experiments & doing research, reaching actionable..."
"


        British Heart Foundation
",Data Team Leader,"
Leading a team of six, you’ll be responsible for managing the accurate and timely provision of data for marketing purposes, coordinating regular imports of data..."
"

    Beringer Tame
",Global Head of Big Data and digital experience analytics,"
Demonstrable ability to drive commercial growth through data insights. Responsible for dictating the data architecture of the business...."
"

    Harnham
",DATA SCIENTIST | PYTHON & R | LONDON | £400-£500PD,"
Data Scientist - FMCG - Contract £400-£500 per day. This is a key role within the company's growing Data Science function and will sit alongside both Data..."
"


        Institute of Cancer Research
",Senior Clinical Data Scientist,"
The Institute of Cancer Research Clinical Trials and Statistics Unit (ICR-CTSU), based in Sutton, would like to appoint a Senior Clinical Data Scientist to lead..."
"

    TechNET IT Recruitment Ltd
",Data Scientist – AI/ ML/No SQL – elite data platform company,"
Experience conducting data analysis on big data and big data technologies. Robust statistical interpretation of experimental data...."
"


        Office for National Statistics
",Statistician - GLA Support and sub-national analysis - G7,"
Government Statistician Group Framework - Presenting and Disseminating Data Effectively.  Co-ordinate with a G7 Economist colleague to ensure that the data and..."
"

    Pentasia
",Graduate Quantitative Analyst,"
Experience analysing data, and knowledge of appropriate statistical and/or machine learning techniques. Working with big data to perform retrospective analysis..."
"


        UCB
","Principal Scientist, Discovery Analytics","
As a Principal Scientist, Discovery Analytics, you will be responsible for accelerating drug discovery by enhancing our decision making process, working with a..."
"


        RBC
",Flow Rates Quantitative Analyst - VP,"
. What is the opportunity? The purpose of this role will be the provision of quantitative tools, analysis and support to the trading desk, including the"
"


        Citi
",Quantitative Analyst – Rates,"
Primary Location: United Kingdom,England,London Education: Master's Degree Job Function: Trading Schedule: Full-time Shift: Day Job Employee Status: Regular"
"


        Expedia
",Data science Specialist,"
Data Scientist in Search Marketing. Expert SQL (Hadoop)/data manipulation skills required including cleaning and managing data...."
"

    Blue Pelican
",Senior Web Analyst – Revolutionary luxury e-tailer / Big Data,"
Data Science function. Working with impressive data scientists, digital analysts and CRM analysts from management consulting and leading loyalty firms, you have..."
"

    Digital Gurus Recruitment
",Data Scientist - Research,"
My client, a market leader within the market research sector, have offices based worldwide and they're now looking to hire one maybe two talented Data..."
"

    Client Server
",Researcher NLP Machine Learning - PhD,"
Researcher (NLP Machine Learning PhD). Hugely innovative IOT start-up is seeking a skilled Researcher to design and develop a cutting-edge product that uses"
"

    Klarna
",Data Scientist Predictive Modelling UK,"
Experience working with consumer credit data. Find patterns and trends in huge transactional data sets. Experience extracting and manipulating big sets of data..."
"

    Harnham
",DATA SCIENTIST | R&D,"
Data Scientist | R&D. As a Principal Data Scientist in this brand new function, you will be responsible for spearheading the introduction of advanced machine..."
"


        Imperial College London
",Strategic Planning Officer,"
This post is particularly focused on data relating to students and education, and has particular responsibility for data used to inform the Colleges Access..."
"

    G-Research
",Machine Learning Researcher,"
The team are developing machine learning techniques and applying them to seek patterns in large, dirty and noisy data sets...."
"

    ThinkersConnect
",Database Developer (SQL),"
Assist data scientists with data analysis and research. Experience using Redgate tools or SQL Server Data Tools in production environments...."
"

    TechNET IT Recruitment Ltd
",Research Developer – R&D Start-Up,"
As an R&D Scientist, you will:. As an R&D Scientist, you will have shown excellence in the following:. They develop their systems using graph technologies that..."
"


        Department for Communities and Local Government
","Spatial Analyst, Implementation Unit","
1507693 EO Data Collection Officer - Data Analytics and Statistics. Working collaboratively with DCLGs Data Scientists to continue to develop our digital..."
"

    Client Server
",Data Scientist PhD,"
Data Scientist (PhD Data Modelling Machine Learning OOP R Python Golang Mathematics). Experience as a Data Scientist / Statistical Modeller / Financial Analyst..."
"


        The Pirbright Institute
",Research Scientist,"
Communicating progress and data internally; The Pirbright Institute is a unique national centre that works through its highly innovative fundamental and applied..."
"

    Austin Fraser Ltd
",Data Scientist,"
Data Scientist (R, Hadoop, Data Mining, Machine Learning). I am looking for an experienced Data Scientist to join a project immediately on a 3 month contract...."
"


        Credit Suisse
",Data Analytics Specialist,"
Remain current on new developments in data analytics, Big Data, RegTech industry and distributed computing. Dealing with critical and confidential data would be..."
"

    Resource Flow
",Data Scientist | Machine Learning |Spark | Hadoop,"
We have an excellent opportunity for an experienced Data scientist with hands on Machine Learning & Spark programming experience and to join our clients Data..."
"


        ONE
",Data Scientist (London),"
The Data Scientist can be based in either London, UK or Washington, DC; The Data Scientist will be responsible for advising ONE on the potential of data to..."
"


        Robert Walters
",Data Scientist,"
Key responsibilities for the Senior Lead Data Scientist include:. The Senior Lead Data Scientist will be responsible for analysing large, complex data sets to..."
"

    MI5
",Behavioural Scientists,"
Experience of research and analysis of online data would be an advantage. We are looking for behavioural scientists who will support current operations and..."
"


        McKinsey & Company
","Energy Insights Analyst, Benchmarking & Performance Improvement","
As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)..."
"

    Harnham
",DATA SCIENTIST - R/PYTHON/SQL - LEADING ONLINE BRAND,"
THE ROLE - DATA SCIENTIST:. SALARY AND BENEFITS - DATA SCIENTIST:. Data Scientist - R/Python/SQL - Leading Online Brand...."
"

    Burns Sheehan
","Python Developer | Analytics, Huge Data Sets, Machine Learning","
Python Developer | Machine Learning, Analytics, Huge Data Sets. Do you have a curiosity about Machine Learning and Data Science?..."
"

    Vector Recruitment Limited
",Assistant Research Scientist - Nanotechnology,"
Data collection, analysis and modelling. A multi-award winning nanotechnology company are looking for bright Physical Scientist (Chemist/ Materials Scientist..."
"

    Database Team
",Researcher Machine Learning - Greenfield,"
Researcher / Data Scientist. Requirements for a Researcher / Data Scientist:. Researcher / Data Scientist (Algorithm Machine Learning AI Greenfield)...."
"


        Swiss Re
",Head of L&H Data Propositions 1,"
Interacts and collaborates closely with ""data-related"" functions within the Group (e.g., Data Scientists, Digital Analytics Catalysts) to understand and..."
"

    Database Team
",Data Scientist Python R SQL - Machine Learning,"
Data Scientist / Security Data Analyst. Data Scientist / Security Data Analyst (Python R Machine Learning Big Data)...."
"


        Deutsche Bank
",Quantitative Analyst,"
Job ID: 3137095 Full/Part-Time: Full-time Regular/Temporary: Regular Listed: 2016-08-10 Location: London, United Kingdom As a leading global bank with"
"


        Reed Business Information
",Test Analyst,"
Data testing and validation. The technology team provides the online products and systems to collect and distribute ICIS data to our global audience...."
"

    Capita IT Resourcing
",Junior Data Scientist,"
Junior Data Scientist with 1 - 2 years of commercial experience needed to help my travel client develop new data driven products and services...."
"

    Churchill Frank
",Data Innovation Scientist,"
Data Innovation Scientist - Qlikview - London - £40000+ DOE. Data, Scientist, Qlikview, Reporting, Tableau, Business Objects, SQL Server, R, Excel VBA, SPSS,..."
"


        Guy's and St Thomas' NHS Foundation Trust
",Assistant Technical Officer,"
Experience in data entry would be an advantage. We are seeking Assistant Technical Officers to support the work of Senior Assistant Technical Officers and..."
"


        Bank Of America
",Senior Quantitative Finance Analyst,"
Corporate Title: Vice President up to Director Division: Global Risk Bank of America Merrill Lynch is looking for a senior quantitative finance analyst in"
"


        Teespring
",Data Analyst - EU,"
The Data team is composed of analysts, data scientists and engineers who are responsible for core data collections and application...."
"

    Harnham
",SQL/R - JUNIOR DATA SCIENTIST - START UP,"
SQL/R - Junior Data Scientist - Start Up. SQL/R JUNIOR DATA SCIENTIST - WHAT TO EXPECT:. As the successful analyst you will be joining a team of product..."
"


        Morgan McKinley
","Data Scientist £40,000 - £80,000","
Data Scientist £40,000 - £80,000. My client a growing start up consultancy providing data and analytics services are looking to recruit a talented data..."
"

    Xcede Digital
",Data Scientist - Healthcare,"
If you are interested in this or other Data Scientist or Data Engineering vacancies please contact Niall Wharton on niall.wharton@xcede.co.uk or +44(0)203 301..."
,Data Scientist,"
Communicate requirements for data sources to the data warehouse provider (Siemens in Germany) and work with them to validate the data once imported...."
"

    Whitehat Analytics
",Data Scientist,"
O Assess the volume of data, the type of data, and the speed of data collection. We are expanding our core team and are looking for a data scientist who is..."
"


        Aimia
",Senior Analyst - Sainsburys Nectar Analytics,"
AIMIA places analytics and data science at the heart of our business, and we employ over 100 analysts and data scientists in the UK and over 200 worldwide...."
"


        Teradata
",Think Big Senior Data Scientist,"
The Senior Data Scientist will:. Have experience mentoring Junior Data Scientists. Model, predict and classify data...."
"

    Taylor Green Recruitment
",Data Scientist - Fintech - Start Up - London,"
My client, an exciting Fintech Start Up based in London is looking to hire a Data Scientist to develop their Big Data input...."
"


        GlaxoSmithKline
",Senior Scientist,"
You will be expected to develop credibility with colleagues across GSK R&D, perform data analysis, record keeping and reporting of results to corporate..."
"

    Amey plc
",Analytics and Data Science Specialists,"
Skills and a track record in quantitative analytics, and /or data science ideally applied to physical infrastructure or plant...."
"

    Atwood Tate
","Data Scientist, Journals","
The Data Scientist role will be responsible for analyzing trends, correlations and abnormalities across this data and reporting the findings...."
"

    Cornwaliis Elt
",Data Scientist - London,"
Data Scientist - London. Very good understanding of SQL (ideally NoSQL too) and data technologies. The Data Science team create state of the art algorithms and..."
"


        Willis Group
",Developer,"
Ability to collaborate, understand and work with actuarial, Data Scientists and advanced business users and colleagues...."
"

    Morgan Healey
","Data Scientist, Journals","
This data includes information about subscriptions, usage, citations, submissions, etc. The Data Scientist role will be responsible for analyzing trends,..."
"

    Vector Recruitment Limited
",Applied Research Scientist - Nanotechnology,"
Applied Research Scientist or Asistant Scientist ( depending on experience level). Exceptional Data collation and analysis skills...."
"

    Churchill Frank
",Data Scientist,"
DATA SCIENTIST ROLE - LONDON - £60,000. An exciting opportunity has arisen for a permanent role as a Data Scientist within the UK...."
"

    Xcede
",Senior Big Data Engineer - Scala & Spark in AdTech,"
You'll work with a team of extremely high quality Big Data Engineers, AI Specialists and Data Scientists (profiles available on request)...."
"

    Logikk Ltd
",Head of Data Science / Advanced Analytics - FTSE 100,"
Ability to manage up to 15 data scientists with 4-5 direct reports. Head of Data Science. The Data Science team is simply there to provide data driven answers..."
"


        ONE Campaign
",Data Scientist (London),"
The Data Scientist can be based in either London, UK or Washington, DC; The Data Scientist will be responsible for advising ONE on the potential of data to..."
"


        Experian
",Innovation Lead Analyst,"
Understanding of data, data structures and their value regarding use for analysis. Data manipulation using Oracle...."
"

    Harnham
","DATA SCIENTIST – SAS,SQL,R - ECOMMERCE","
Data Scientist - SAS,SQL,R - eCommerce. Duties and Responsibilities - Data Scientist. A very successful eCommerce brand based in London is looking for an..."
"


        PETA Foundation
",Research Associate,"
Ability to interact effectively with diverse groups of scientists and media representatives. Obtain the necessary data for writing factsheets, reports, comments..."
"

    Datatech Analytics
",Data Scientist,"
Data Scientist – Negotiable Salary – Plus Benefits – London. Identifying and specifying changes to data capture...."
"

    Cornwaliis Elt
",Data Scientist / Engineer - London,"
Data Scientist / Engineer - London. Liaise closely with other Data Engineers and Data Scientists when using data platforms...."
"

    Harnham
",DATA SCIENTIST - MACHINE LEARNING,"
The Role - Data Scientist. Data Scientist | Machine Learning. Your Skills and Experience - Data Scientist. R, Python, Pandas, Scala, SQL, Hive, Hadoop, Spark,..."
"


        Sky
",Lead Data Scientist,"
Managing a team of dedicated and ground breaking data scientists. Strong experience in statistics (time series analysis, data mining, advanced clustering, data..."
"


        Sky
",Data Scientist,"
This position will sit within our new Big Data team tasked with unlocking value contained in large/semi-structured data across the business...."
"

    iKas International
",Data Scientist Modeller,"
Knowledge of Data Mining techniques. A leading Financial Technology organisation are looking for a Data Scientist/Modeller to join their Data team, based in the..."
"


        Salt
",Data Scientist,"
Data Scientist - London - £60,000 - 80,000. Developing bespoke data science tools. Visualising data at various business levels...."
"

    Harnham
",DATA SCIENTIST - DEEP LEARNING,"
Data Scientist - Deep Learning. Harnham are currently working with a leading data science team in central London in the legal sector who are looking to hire a..."
"

    Berkeley Square IT
",Bayesian Data Scientist,"
The successful Bayesian Data Scientist will be able to demonstrate:. If you're keen to apply for this Bayesian Data Scientist position, please send me your CV..."
"


        Aimia
",Lead Analyst Trading Insights,"
AIMIA places analytics and data science at the heart of our business, and we employ over 100 analysts and data scientists in the UK and over 200 worldwide...."
"


        Amazon Web Services UK Limited
",Data Scientist - London,"
Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?..."
"

    Logikk Ltd
","Data Scientist - London - c. 60K + 18% bonus, 4K Car & H-Care","
Data Science / Data Scientist / Machine Learning / Statistics / Python / SQL / Hadoop / Spark / Neural networks / Random Forrest / Support vector machines / SVM..."
"

    Soma Analytics
",Data Science Intern,"
Knowledge of data analysis tools. Meaningful visualizations and help us gain insight into our data. We are looking for a talented Data Science Intern who loves..."
"


        Ocado
",Machine Learning Engineer - Internship,"
(Big) data engineering,. You will be required to obtain and interpret data from Ocado’s databases and create products for internal and external consumption...."
"


        Sainsburys
",BI Data Scientist,"
Advice and support from team, Snr Data scientist and A&C manager. The Data Scientist will be responsible for delivering key insight to the business, through the..."
"

    Mansion House Recruitment
",Data Scientist,"
Evident interest or experience in Data Science, Big Data, Machine Learning and Predictive Analytics from your CV. SQL, Python, R, big data tools...."
"

    Harnham
",DATA SCIENTIST - R/SQL/PYTHON,"
Data Scientist, Retail. As Data Scientist you will be working with data from one of the UK's busiest brands that all of us come across on a daily basis...."
"

    Digital Gurus Recruitment
",Data Scientist - Leisure Industry,"
Our client, an established leader in entertainment brands are looking for a mid-level Data Scientist to join their fantastic team of Data Scientists/Analysts..."
"

    Hasson Associates
",Data Scientist,"
This is a great opportunity to join an innovative and technology focused agency as a Data Scientist. With a BSc or PhD in Computer Science, Stats or Maths, they..."
"


        Morgan McKinley
","Data Scientist £40,000 - £80,000","
Data Scientist £40,000 - £80,000. My client a growing start up consultancy providing data and analytics services are looking to recruit a talented data..."
"

    Xcede Digital
",Data Scientist - Healthcare,"
If you are interested in this or other Data Scientist or Data Engineering vacancies please contact Niall Wharton on niall.wharton@xcede.co.uk or +44(0)203 301..."
,Data Scientist,"
Communicate requirements for data sources to the data warehouse provider (Siemens in Germany) and work with them to validate the data once imported...."
"

    Whitehat Analytics
",Data Scientist,"
O Assess the volume of data, the type of data, and the speed of data collection. We are expanding our core team and are looking for a data scientist who is..."
"


        Aimia
",Senior Analyst - Sainsburys Nectar Analytics,"
AIMIA places analytics and data science at the heart of our business, and we employ over 100 analysts and data scientists in the UK and over 200 worldwide...."
"


        Teradata
",Think Big Senior Data Scientist,"
The Senior Data Scientist will:. Have experience mentoring Junior Data Scientists. Model, predict and classify data...."
"

    Taylor Green Recruitment
",Data Scientist - Fintech - Start Up - London,"
My client, an exciting Fintech Start Up based in London is looking to hire a Data Scientist to develop their Big Data input...."
"


        GlaxoSmithKline
",Senior Scientist,"
You will be expected to develop credibility with colleagues across GSK R&D, perform data analysis, record keeping and reporting of results to corporate..."
"

    Amey plc
",Analytics and Data Science Specialists,"
Skills and a track record in quantitative analytics, and /or data science ideally applied to physical infrastructure or plant...."
"

    Atwood Tate
","Data Scientist, Journals","
The Data Scientist role will be responsible for analyzing trends, correlations and abnormalities across this data and reporting the findings...."
"

    Klarna
",Data Scientist Predictive Modelling UK,"
Experience working with consumer credit data. Find patterns and trends in huge transactional data sets. Experience extracting and manipulating big sets of data..."
"

    Harnham
",DATA SCIENTIST | R&D,"
Data Scientist | R&D. As a Principal Data Scientist in this brand new function, you will be responsible for spearheading the introduction of advanced machine..."
"


        Imperial College London
",Strategic Planning Officer,"
This post is particularly focused on data relating to students and education, and has particular responsibility for data used to inform the Colleges Access..."
"

    G-Research
",Machine Learning Researcher,"
The team are developing machine learning techniques and applying them to seek patterns in large, dirty and noisy data sets...."
"

    ThinkersConnect
",Database Developer (SQL),"
Assist data scientists with data analysis and research. Experience using Redgate tools or SQL Server Data Tools in production environments...."
"

    TechNET IT Recruitment Ltd
",Research Developer – R&D Start-Up,"
As an R&D Scientist, you will:. As an R&D Scientist, you will have shown excellence in the following:. They develop their systems using graph technologies that..."
"


        Department for Communities and Local Government
","Spatial Analyst, Implementation Unit","
1507693 EO Data Collection Officer - Data Analytics and Statistics. Working collaboratively with DCLGs Data Scientists to continue to develop our digital..."
"

    Client Server
",Data Scientist PhD,"
Data Scientist (PhD Data Modelling Machine Learning OOP R Python Golang Mathematics). Experience as a Data Scientist / Statistical Modeller / Financial Analyst..."
"


        The Pirbright Institute
",Research Scientist,"
Communicating progress and data internally; The Pirbright Institute is a unique national centre that works through its highly innovative fundamental and applied..."
"

    Austin Fraser Ltd
",Data Scientist,"
Data Scientist (R, Hadoop, Data Mining, Machine Learning). I am looking for an experienced Data Scientist to join a project immediately on a 3 month contract...."
"

    TechNET IT Recruitment Ltd
",Data Scientist – AI/ ML/No SQL – elite data platform company,"
Experience conducting data analysis on big data and big data technologies. Robust statistical interpretation of experimental data...."
"


        Office for National Statistics
",Statistician - GLA Support and sub-national analysis - G7,"
Government Statistician Group Framework - Presenting and Disseminating Data Effectively.  Co-ordinate with a G7 Economist colleague to ensure that the data and..."
"

    Pentasia
",Graduate Quantitative Analyst,"
Experience analysing data, and knowledge of appropriate statistical and/or machine learning techniques. Working with big data to perform retrospective analysis..."
"


        UCB
","Principal Scientist, Discovery Analytics","
As a Principal Scientist, Discovery Analytics, you will be responsible for accelerating drug discovery by enhancing our decision making process, working with a..."
"


        RBC
",Flow Rates Quantitative Analyst - VP,"
. What is the opportunity? The purpose of this role will be the provision of quantitative tools, analysis and support to the trading desk, including the"
"


        Citi
",Quantitative Analyst – Rates,"
Primary Location: United Kingdom,England,London Education: Master's Degree Job Function: Trading Schedule: Full-time Shift: Day Job Employee Status: Regular"
"


        Expedia
",Data science Specialist,"
Data Scientist in Search Marketing. Expert SQL (Hadoop)/data manipulation skills required including cleaning and managing data...."
"

    Blue Pelican
",Senior Web Analyst – Revolutionary luxury e-tailer / Big Data,"
Data Science function. Working with impressive data scientists, digital analysts and CRM analysts from management consulting and leading loyalty firms, you have..."
"

    Digital Gurus Recruitment
",Data Scientist - Research,"
My client, a market leader within the market research sector, have offices based worldwide and they're now looking to hire one maybe two talented Data..."
"

    Client Server
",Researcher NLP Machine Learning - PhD,"
Researcher (NLP Machine Learning PhD). Hugely innovative IOT start-up is seeking a skilled Researcher to design and develop a cutting-edge product that uses"
"

    Rothamsted Research
",Data Scientists - Agrimetrics,"
The team will be responsible for developing a range of mathematical and statistical models and data analytics tools that will be linked to the Agrimetrics data..."
"

    Client Server
",Researcher Machine Learning - Greenfield,"
Researcher / Data Scientist (Algorithm Machine Learning AI Greenfield). As a Researcher / Data Scientist you will earn a competitive salary (to £65k)...."
"

    Babylon Health
",Python Developer,"
You will be working with our data scientists, backend developers, clinicians and other AI specialists to develop and implement predictive analytics algorithms..."
"

    Networking People
",Data Scientist,"
Data Scientist - Statistics Jobs, Statistical Analysis, Statistical modelling, R programming, Linear Models, Bayesian...."
"

    Paramount Recruitment
",Bioinformatician – Data Scientist – London,"
Bioinformatician – Data Scientist – London. Delivering data management plans to ensure data consistency and provide specifications to the computational team...."
"


        Hudson
",Data Scientist - Financial Services / London / Permanent /,"
Data Scientist for a well-established financial research and support company located in Central London. Experience working with a data science analysis toolkit:..."
"

    Harnham
",DATA SCIENTIST – RETAIL ALGORITHMIC ATTRIBUTION - LONDON,"
Data Science - Retail Algorithmic Attribution - London. The department is in it's first year, launching in Q4 of 2015, and already shares success stories of how..."
"

    Taylor Green Recruitment
",Data Scientist - Insurance Analytics,"
Experience with data analysis tools (R, numpy/pandas/scikit-learn) and SQL. In this particular role you will be working with data in the insurance space, a..."
"


        Dell
",Data Scientist Vocalink,"
Data Scientist - Vocalink. Within Services at Dell, we are looking for a Data Scientist - Vocalink to join our team in London...."
"


        HSBC
",Data Scientist - SFR - HAT-04/02/2016-7872,"
Data Scientist - SFR - HAT-04/02/2016-7872. Senior Data Scientist Team Manager. The ability to merge large data sets, to generate insight from those data sets..."
"


        Credit Suisse
",Data Analytics Specialist,"
Remain current on new developments in data analytics, Big Data, RegTech industry and distributed computing. Dealing with critical and confidential data would be..."
